group,1d,2d,pop 2021
0-11,536,130,1079338
12-17,499383,455752,529446
18-29,1045161,960443,1216440
30-39,965668,903773,1118629
40-49,992963,951557,1115327
50-59,1056115,1018005,1155183
60-69,1099831,1081765,1168854
70-79,746383,741455,783129
80 plus,397094,391048,425520
Total 12+,6802598,6503798,7512528
Total,6803134,6503928,8591866
