Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;6;191;142,3;20131;14995,7;< 5;n.p.;525;391,1
Anjou;< 5;61;142,5;6893;16106,6;0;;84;196,3
Baie D'urfé;0;6;n.p.;293;7664,1;0;;< 5;n.p.
Beaconsfield;0;43;222,5;1551;8026,3;< 5;n.p.;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;13;239;143,5;23985;14403,7;< 5;n.p.;406;243,8
Côte-Saint-Luc;< 5;63;194,2;5367;16540,3;0;;129;397,6
Dollard-des-Ormeaux;5;84;171,8;6149;12574,9;0;;131;267,9
Dorval;< 5;28;* 147,5;2087;10995,8;0;;70;368,8
Hampstead;0;37;530,6;1067;15301,9;0;;6;n.p.
Kirkland;< 5;40;198,5;1939;9622,4;0;;40;198,5
Lachine;6;76;170,8;6309;14181;< 5;n.p.;189;424,8
LaSalle;8;99;128,8;11128;14479,6;< 5;n.p.;259;337
L'Île-Bizard–Sainte-Geneviève;0;38;206,4;2382;12936,5;0;;79;429
Mercier–Hochelaga-Maisonneuve;12;232;170,6;19467;14311,4;< 5;n.p.;499;366,8
Montréal Est;< 5;13;* 337,7;658;17090,9;0;;11;* 285,7
Montréal-Nord;< 5;103;122,3;15286;18147,1;< 5;n.p.;383;454,7
Montréal-Ouest;0;9;n.p.;559;11069,3;0;;< 5;n.p.
Mont-Royal;< 5;52;256,5;2583;12739,2;0;;95;468,5
Outremont;< 5;51;212,9;2830;11814,3;0;;30;* 125,2
Pierrefonds–Roxboro;5;104;150,1;8976;12952,9;< 5;n.p.;102;147,2
Plateau Mont-Royal;8;148;142,3;12497;12016,3;< 5;n.p.;194;186,5
Pointe-Claire;0;43;137;2849;9079;0;;64;204
Rivière-des-Prairies–Pointe-aux-Trembles;11;185;173,3;17768;16645,6;< 5;n.p.;352;329,8
Rosemont–La Petite Patrie;11;221;158,3;17705;12683,6;0;;350;250,7
Sainte-Anne-de-Bellevue;< 5;12;* 242;447;9015,7;0;;14;* 282,4
Saint-Laurent;< 5;165;167;14784;14959,3;0;;171;173
Saint-Léonard;< 5;110;140,5;14390;18376,9;< 5;n.p.;167;213,3
Senneville;0;< 5;n.p.;85;9229,1;0;;0;
Sud-Ouest;13;114;145,9;9747;12472;0;;228;291,7
Verdun;< 5;101;145,9;7597;10973,7;0;;211;304,8
Ville-Marie;15;170;190,6;11888;13331,8;< 5;n.p.;151;169,3
Villeray–Saint-Michel–Parc-Extension;9;175;121,7;21857;15194;< 5;n.p.;242;168,2
Westmount;< 5;76;374,2;1975;9723,3;0;;64;315,1
Territoire à confirmer;< 5;95;;7439;;0;;31;
Total à Montréal;150;3185;154,2;280669;13587,4;18;*0,9;5310;257,1
