Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrDeltaPresomptif,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrOmicronTotalCrib,nbrOmicronSanger,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,7534,994,0,0,26,98,124,6416,5947,1118,469,206,1675,221,1587,0,0,2,2,0,0,0,2
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,8502,997,0,0,68,177,245,7260,6501,1242,759,212,1984,217,2001,0,0,3,3,0,0,0,3
Région,RSS03,03 - Capitale-Nationale,Total,31761,6280,5,11,508,714,1272,24243,21373,7518,2870,1151,9966,1075,10388,50,246,32,278,0,0,0,278
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,23022,1652,1,2,258,822,1081,20287,19743,2735,544,419,4285,375,3279,1,11,15,26,0,0,0,26
Région,RSS05,05 - Estrie,Total,22074,2033,0,11,477,811,1289,18742,17772,3332,970,622,3981,524,4302,1,3,15,18,0,0,0,18
Région,RSS06,06 - Montréal,Total,145238,13820,126,285,4127,6571,11195,120309,108195,24929,12114,6890,30222,7072,37043,497,1762,482,2244,38,0,38,2282
Région,RSS07,07 - Outaouais,Total,19563,3839,17,33,174,1053,1227,14447,14162,5116,285,238,4822,780,5401,0,7,21,28,5,0,5,33
Région,RSS08,08 - Abitibi-Témiscamingue,Total,3071,103,187,0,29,40,70,2712,2608,359,104,29,256,244,463,1,2,2,4,0,0,0,4
Région,RSS09,09 - Côte-Nord,Total,1702,163,0,0,11,54,65,1474,1433,228,41,22,279,33,269,0,0,6,6,0,0,0,6
Région,RSS10,10 - Nord-du-Québec,Total,214,22,1,0,5,11,17,175,156,39,19,13,50,5,58,1,1,0,1,0,0,0,1
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,1910,185,0,0,33,56,90,1636,1587,274,49,38,346,37,323,1,1,0,1,0,0,0,1
Région,RSS12,12 - Chaudière-Appalaches,Total,28651,3452,1,10,500,1547,2053,23141,22462,5510,679,874,8257,1111,6189,6,36,26,62,0,0,0,62
Région,RSS13,13 - Laval,Total,34542,3280,13,23,604,2926,3560,27696,26334,6846,1362,809,7239,963,8208,30,99,31,130,1,0,1,131
Région,RSS14,14 - Lanaudière,Total,30055,1820,38,11,366,1874,2345,25946,24133,4109,1813,734,5263,770,5922,105,99,34,133,1,0,1,134
Région,RSS15,15 - Laurentides,Total,38013,2558,33,59,436,2626,3261,32301,29536,5712,2765,1114,7483,1086,8477,199,443,105,548,1,0,1,549
Région,RSS16,16 - Montérégie,Total,68140,4291,26,155,1825,2552,4457,59291,55981,8849,3310,2485,10682,1879,12159,80,318,218,536,13,0,13,549
Région,RSS00,Inconnu,Total,2057,51,1,0,133,63,198,1809,1664,248,145,31,261,175,393,2,5,9,14,1,0,1,15
Région,RSS98,Hors-Québec,Total,1887,125,11,10,201,112,313,1428,1329,459,99,208,321,270,558,0,13,7,20,4,0,4,24
Région,RSS99,Ensemble du Québec,Total,467936,45665,460,610,9781,22107,32862,389313,360916,78623,28397,16095,97372,16837,107020,974,3046,1008,4054,64,0,64,4118

