group,1d,2d,3d,pop 2021
0-4,10577,64,8,428991
5-11,435437,329295,531,650347
12-17,531774,508536,98054,529446
18-29,1113843,1055464,436775,1216440
30-39,1021760,982400,503256,1118629
40-49,1028083,1004014,641772,1115327
50-59,1080928,1055626,791452,1155183
60-69,1116648,1105229,990774,1168854
70-79,754567,753485,719455,783129
80 plus,400836,401298,387969,425520
Total 5+,7483876,7195347,4570038,8162875
Total,7494453,7195411,4570046,8591866
